title,price,rating,reviews,availabillity
"Fitbit Charge 4 Fitness and Activity Tracker with Built-in GPS, Heart Rate, Sleep & Swim Tracking, Black/Black, One Size (S &L Bands Included)",,4.7 out of 5 stars,"57,029 ratings",In Stock
"Fitbit Charge 5 Advanced Health & Fitness Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate and More, Black/Graphite, One Size (S &L Bands Included)",,4.0 out of 5 stars,"31,001 ratings",In Stock
"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, White/Gold, One Size (S & L Bands Included)",,4.2 out of 5 stars,"12,679 ratings",In Stock
"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black/Carbon, One Size (S and L Bands Included)",,4.2 out of 5 stars,"53,759 ratings",In Stock
"FITVII Slim Fitness Tracker with Blood Oxygen, Blood Pressure, 24/7 Heart Rate and Sleep Tracking, IP68 Waterproof Activity Trackers and Smart Watches with Step Tracker, Pedometer for Women Kids",,4.2 out of 5 stars,"9,765 ratings",In Stock
Fitbit Alta HR,,4.3 out of 5 stars,"5,778 ratings",In Stock
"Fitbit Charge 2 Heart Rate + Fitness Wristband, Black, Large (US Version), 1 Count",,4.0 out of 5 stars,"30,078 ratings",Only 1 left in stock - order soon.
"Fitbit Versa 2 Health & Fitness Smartwatch with Heart Rate, Music, Alexa Built-in, Sleep & Swim Tracking, Black/Carbon, One Size (S & L Bands Included) (Renewed)",,4.1 out of 5 stars,511 ratings,In Stock
"Fitbit Charge 5 Advanced Fitness & Health Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate and More, Black/Graphite, One Size (S &L Bands Included) (Renewed)",,3.6 out of 5 stars,189 ratings,In Stock
"VIRAN Military Smart Watches for Men, 5ATM Waterproof Rugged Smart Watch with Bluetooth Call (Answer/Dial Call), 1.39” HD IP68 Fitness Tracker Watch with 100+ Sport Modes for Android/iOS Phone",,4.1 out of 5 stars,299 ratings,In Stock
"Fitbit Versa Lite Edition Smart Watch, One Size (S and L Bands Included), 1 Count",,4.0 out of 5 stars,"5,207 ratings",In Stock
"Fitbit Inspire HR Heart Rate and Fitness Tracker, One Size (S and L Bands Included), 1 Count",,4.0 out of 5 stars,"52,865 ratings",In Stock
"Fitbit Versa 4 Health and Fitness Smart Watch (Black/Graphite) with Built-in GPS, 6 Day Battery Life, S & L Bands, Bundle with 3.3foot Charge Cable, Wall Adapter, Screen Protectors & PremGear Cloth",,4.2 out of 5 stars,228 ratings,Only 16 left in stock - order soon.
"Fitbit Charge 4 Fitness Tracker, Rosewood/Rosewood",,4.1 out of 5 stars,"1,449 ratings",In Stock
"ENOMIR Smart watch for Women Men with Bluetooth Call,Smartwatch with Alexa Built-in,Heart Rate SpO2 Sleep Monitor,5ATM Waterproof,Step Calorie Activity Trackers and Smartwatches for iOS&Android Phones",,4.1 out of 5 stars,"1,387 ratings",In Stock
