title,price,rating,reviews,availabillity
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver",,4.4 out of 5 stars,"2,454 ratings",In Stock
"Early 2020 Apple MacBook Air with 1.1GHz Intel Core i3 (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Space Gray (Renewed)",,4.5 out of 5 stars,"1,058 ratings",In Stock
Apple MacBook Pro 13.3in Retina Laptop Intel i5 Dual Core 2.6GHz 8GB 128GB SSD - MGX72LL/A (Renewed),,4.6 out of 5 stars,890 ratings,In Stock
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Midnight",,4.4 out of 5 stars,61 ratings,In Stock
"Apple 15in MacBook Pro, Retina, Touch Bar, 2.9GHz Intel Core i7 Quad Core, 16GB RAM, 512GB SSD, Space Gray, MPTT2LL/A (Renewed)",,3.9 out of 5 stars,832 ratings,In Stock
"2019 Apple MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",,4.4 out of 5 stars,"1,711 ratings",In Stock
"Apple MacBook Pro 13-inch 2.3GHz Core i5, 256GB - Space Gray - 2017 (Renewed)",,4.5 out of 5 stars,"2,675 ratings",In Stock
"Apple MacBook Pro with Intel Core i5, (13.3-Inch, 8GB, 512GB) - Silver (Renewed)",,4.6 out of 5 stars,405 ratings,In Stock
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 16.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Black",,4.6 out of 5 stars,146 ratings,In Stock
"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",,4.4 out of 5 stars,"2,085 ratings",In Stock
"Apple MacBook Air MJVM2LL/A 11.6-Inch Laptop (1.6 GHz Intel Core i5, 128 GB Hard Drive, Integrated Intel HD Graphics 6000, Mac OS X 10.10 Yosemite) (Renewed)",,4.4 out of 5 stars,349 ratings,Only 8 left in stock - order soon.
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",,4.7 out of 5 stars,239 ratings,In Stock
"Apple 13in MacBook Air (2017 Newest Version) 1.8GHz Core i5 CPU, 8GB RAM, 128GB SSD (Renewed)",,4.5 out of 5 stars,229 ratings,In Stock
"Lemorele 8-in-1 USB C Hub Multiport Adapter, USB-C Hub with 4K HDMI Output, 100W Power Delivery, USB 3.0 5Gdps Port, SD/TF Card Reader Adpater, Compatible for MacBook Pro, XPS, Chromebook and More",,4.3 out of 5 stars,"7,211 ratings",In Stock
