title,price,rating,reviews,availabillity
"Lenovo V15 Gen 3 Business Laptop, 15.6"" FHD Display, Intel Core i7-1255U, 16GB RAM, 512GB SSD, Wi-Fi 6, Bluetooth, HDMI, RJ-45, Webcam, Windows 11 Pro, Grey",,4.5 out of 5 stars,8 ratings,In Stock
"Lenovo Ideapad 1 Laptop for Business & Student, 14"" HD Display, Intel Celeron N4020, 4GB RAM, 128GB eMMC, Fast Charge, WiFi 6, USB-C, Webcam, HDMI, SPS HDMI Cable, Win 11 Home S, Cloud Gray",,4.4 out of 5 stars,1 rating,In Stock
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",,4.5 out of 5 stars,727 ratings,Only 7 left in stock - order soon.
"Lenovo IdeaPad 15.6"" FHD Laptop Newest, Intel Pentium Quad-Core Processor, 12GB RAM 256GB SSD, HDMI, WiFi 6, 11Hours Battery Life, Win 11, Blue, 1 Year Office 365 + CUE Accessories",,4.6 out of 5 stars,16 ratings,In Stock
"Lenovo ThinkPad E16 Business Laptop, 16"" WUXGA Display, AMD Ryzen 5 7530U (Beat i7-1165G7), 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, RJ-45, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Black",,4.4 out of 5 stars,53 ratings,In Stock
"LENOVO ThinkPad E16 Gen 1 Business Laptop, 16"" FHD+ Display, AMD Ryzen 7 7730U, 40GB RAM, 2TB SSD, Backlit Keyboard, Fingerprint Reader, HDMI, RJ-45, Wi-Fi 6, Windows 11 Pro, Black",,4.4 out of 5 stars,18 ratings,In Stock
"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle",,4.5 out of 5 stars,33 ratings,In Stock
"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Anti-glare, Intel 13th Gen 10-Core i7-1355U, 32GB RAM, 1TB SSD), Backlit, Fingerprint Reader, FHD Webcam, Ethernet, Wi-Fi 6, Win 11 Pro, Black, 2024",,4.4 out of 5 stars,10 ratings,Only 10 left in stock - order soon.
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",,4.4 out of 5 stars,338 ratings,In Stock
"Lenovo ThinkPad E14 Gen 5 Business Laptop, 14"" FHD+ Display, AMD Ryzen 7 7730U (Beat i7-1255U), 16GB RAM, 512GB SSD, FP Reader, Backlit Keyboard, HDMI, RJ45, Wi-Fi 6, Windows 11 Pro, Black",,4.5 out of 5 stars,37 ratings,In Stock
"Lenovo 2023 Newest Ideapad 3i Laptop, 15.6"" FHD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 12GB DDR4 RAM, 256GB SSD, HDMI, Webcam, Wi-Fi6, Bluetooth, Win11, Arctic Grey, W/GaLiMu",,4.5 out of 5 stars,"4,203 ratings",Only 12 left in stock - order soon.
"Lenovo Ideapad 14 Laptop, 14"" HD Screen, Intel Pentium Silver N5030, 4GB RAM, 128GB PCIe SSD (NO eMMC), Webcam, HDMI, SD Card Reader, Win 11, Gray, 1 Year Office 365, with Bundled Accessories",,4.5 out of 5 stars,113 ratings,Only 9 left in stock - order soon.
Lenovo Thinkpad T420 - Intel Core i5 2520M 8GB 320GB Windows 10 Professional (Renewed),,4.4 out of 5 stars,518 ratings,Only 2 left in stock - order soon.
"Lenovo ThinkPad T480 14"" Laptop Business Netbook, Intel Dual Core i5-8250U up to 3.60GHz, 1TB SSD, 16GB DDR4 RAM, HDMI, Type-C, USB 3.0, SD Card Reader, Windows 10 Pro (Renewed)",,4.5 out of 5 stars,354 ratings,In Stock
"LENOVO ThinkPad T480s Laptop, 14 IPS FHD (1920x1080) Matte Display, Intel Core i7-8650U 4.20 GHz, 24GB RAM, 512GB SSD, Fingerprint Reader, Supported Windows 10 Pro, Black Color, Renewed",,4.5 out of 5 stars,313 ratings,Only 10 left in stock - order soon.
"Lenovo ThinkPad T490 14.0 FHD (1920x1080) 250 nits IPS Anti-Glare Display - Intel Core i5-8265U Processor, 16GB RAM, 512GB PCIe-NVMe SSD, Windows 10 Pro 64-bit (Renewed)",,4.5 out of 5 stars,309 ratings,Only 5 left in stock - order soon.
"Lenovo Thinkpad T460 14 HD, Core i5-6300U 2.4GHz, 8GB RAM, 256GB Solid State Drive, Windows 10 Pro 64Bit, (Renewed)",,4.5 out of 5 stars,187 ratings,Only 1 left in stock - order soon.
"Lenovo 2023 High Performance 14'' Full HD IPS Laptop, Intel i3-1115G4 Processor Up to 4.1GHz, 8GB RAM, 256GB SSD, Super-Fast 6th Gen WiFi, Windows 11 OS (Renewed)",,4.5 out of 5 stars,136 ratings,Only 16 left in stock - order soon.
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 2TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi 6, Windows 11 Pro, Grey",,4.4 out of 5 stars,,In Stock
